Date,GMHF_Mean,Mkt_RF,SMB,HML,RF,MOM,RMW,CMA,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,CS_factor,DGS10,DEF,DIV,GDP,INFLTN,MKT,RREL,TERM,UNEMP,VIX
200407,-0.0033,-4.06,-3.8,4.1,0.1,-2.29,5.08,-1.64,-0.12,-0.09,0.15,-0.25,-0.18,2.1,4.5,0.8,18.79,0.12,189.1,-4.06,2.25,3.14,5.5,15.32
200408,-0.0023,0.08,-1.63,1.03,0.11,-1.55,1.31,-1.42,0.01,-0.3,-0.06,-0.07,-0.23,2.19,4.13,0.81,18.97,0.2,189.2,0.08,2.09,2.78,5.4,15.29
200409,0.0084,1.6,3.03,-0.25,0.11,5.24,-1.34,-1.88,-0.12,-0.15,0.02,-0.14,-0.08,2.11,4.14,0.81,19.16,-0.04,189.8,1.6,1.91,2.44,5.4,13.34
200410,0.0084,1.43,0.31,-0.62,0.11,-1.52,-0.08,0.41,-0.06,0.23,-0.06,-0.07,0.07,2.09,4.05,0.74,19.25,-0.02,190.8,1.43,1.8,2.3,5.5,16.27
200411,0.0281,4.54,3.91,1.79,0.15,3.23,-1.05,-0.23,-0.04,0.42,-0.04,0.01,0.13,1.95,4.36,0.68,19.35,-0.34,191.7,4.54,1.48,2.09,5.4,13.24
200412,0.0061,3.43,0.12,-0.06,0.16,-2.84,-1.27,0.5,-0.03,-0.06,-0.11,-0.14,0.02,1.86,4.24,0.68,19.44,3.64,191.7,3.43,1.35,2.01,5.4,13.29
200501,-0.0058,-2.76,-1.51,1.97,0.16,3.21,3.05,-1.37,-0.1,-0.11,-0.13,-0.16,-0.2,1.75,4.14,0.66,19.7,-3.66,191.6,-2.76,1.21,1.85,5.3,12.82
200502,0.0181,1.89,-0.51,1.63,0.16,3.16,1.21,-0.06,-0.03,-0.05,0.41,0.11,0.06,1.59,4.36,0.62,19.97,-0.02,192.4,1.89,0.99,1.59,5.4,12.08
200503,-0.006,-1.97,-1.39,1.58,0.21,0.54,0.48,1.1,-0.13,0,-0.1,-0.13,0.03,1.64,4.5,0.66,20.23,0.29,193.1,-1.97,0.78,1.7,5.2,14.02
200504,-0.0106,-2.61,-3.99,-0.34,0.21,-0.85,0.96,-0.88,0.01,-0.14,-0.2,-0.05,0.08,1.76,4.21,0.72,20.46,0.25,193.7,-2.61,0.73,1.5,5.2,15.31
200505,0.0035,3.65,2.89,-0.81,0.24,0.43,-1.31,0.27,0.04,0.37,-0.02,-0.09,-0.27,1.9,4,0.86,20.7,0.38,193.6,3.65,0.67,1.24,5.1,13.29
200506,0.0106,0.57,2.62,2.62,0.23,2.05,0.98,-0.53,0.01,-0.04,-0.02,0.19,0,1.87,3.94,0.9,20.93,0.14,193.7,0.57,0.53,0.96,5,12.04
200507,0.0074,3.92,2.93,-0.51,0.24,-0.01,-1.17,-0.98,-0.26,-0.03,-0.22,-0.05,0.07,1.67,4.28,0.89,21.11,-0.06,194.9,3.92,0.27,0.89,5,11.57
200508,0.0073,-1.22,-0.92,1.27,0.3,2.27,-2.24,0.45,0.03,-0.18,0.01,-0.09,-0.08,1.77,4.02,0.87,21.29,0.04,196.1,-1.22,0.05,0.74,4.9,12.6
200509,0.0211,0.49,-0.58,0.77,0.29,3.46,0.5,-0.57,-0.13,0.19,0.06,0.26,0.04,1.81,4.34,0.9,21.47,-0.43,198.8,0.49,0.06,0.7,5,11.92
200510,-0.0063,-2.02,-1.21,0.23,0.27,-1.28,-0.56,-1.26,-0.03,-0.02,-0.11,0.29,0,1.83,4.57,0.95,21.72,0.65,199.1,-2.02,0.24,0.67,5,15.32
200511,0.0146,3.61,0.91,-1.18,0.31,0.25,-0.58,-1.17,-0.11,0.18,0.02,-0.01,-0.11,1.89,4.49,0.97,21.97,0.75,198.1,3.61,0.41,0.56,5,12.06
200512,0.0128,-0.25,-0.46,0.44,0.32,0.77,0.12,0.21,-0.02,0.01,0.1,-0.07,-0.06,1.82,4.39,0.95,22.22,0.45,198.1,-0.25,0.43,0.5,4.9,12.07
200601,0.024,3.04,5.42,1.12,0.35,2.68,-0.94,-0.53,-0.24,-0.08,0.05,-0.29,0.08,1.78,4.53,0.95,22.41,0.94,199.3,3.04,0.79,0.08,4.7,12.95
200602,-0.0047,-0.3,-0.38,-0.25,0.34,-1.84,-0.71,2.03,-0.18,-0.13,-0.1,-0.16,-0.18,1.65,4.55,0.92,22.59,0.28,199.4,-0.3,0.99,0.03,4.8,12.34
200603,0.0115,1.46,3.55,0.61,0.37,1.26,-0.04,-0.53,-0.07,-0.1,-0.06,0.04,-0.01,1.69,4.86,0.88,22.78,0.11,199.7,1.46,1.07,0.1,4.7,11.39
200604,0.0276,0.73,-1.34,2.59,0.36,0.61,1.16,-0.2,0.2,0.32,0.23,0.09,0,1.67,5.07,0.84,23,-0.12,200.7,0.73,1.17,0.27,4.7,11.59
200605,-0.0136,-3.57,-3.04,2.55,0.43,-3.65,0.93,1.31,-0.07,0.16,-0.05,0.15,0.08,1.66,5.12,0.8,23.22,-0.12,201.3,-3.57,1.3,0.27,4.6,16.44
200606,-0.0048,-0.35,-0.35,0.87,0.4,1.49,1.37,-0.12,-0.15,-0.13,-0.02,-0.13,-0.08,1.67,5.15,0.89,23.44,0.16,201.8,-0.35,1.37,0.19,4.6,13.08
200607,-0.0026,-0.78,-4.08,2.94,0.4,-2.21,1.6,0.93,-0.17,-0.12,-0.23,-0.01,-0.11,1.68,4.99,0.91,23.66,-0.17,202.9,-0.78,1.54,0.01,4.7,14.95
200608,0.0023,2.03,0.9,-1.72,0.42,-3.47,-1.73,2.15,-0.1,-0.08,-0.06,-0.04,-0.22,1.73,4.74,0.91,23.88,-0.12,203.8,2.03,1.56,-0.21,4.7,12.31
200609,-0.0076,1.84,-1.37,0.05,0.41,-0.94,0.89,0.54,-0.04,-0.2,0.04,-0.17,-0.05,1.72,4.64,0.92,24.1,0.54,202.8,1.84,1.41,-0.21,4.5,11.98
200610,0.0114,3.23,1.73,-0.04,0.41,-0.24,-0.21,0.24,-0.21,-0.09,0.4,-0.1,0.02,1.64,4.61,0.91,24.36,0.43,201.9,3.23,1.53,-0.32,4.4,11.1
200611,0.0236,1.71,0.86,0.07,0.42,-1.01,0.12,-0.87,-0.11,0.47,0,-0.26,-0.04,1.64,4.46,0.87,24.62,0.31,202,1.71,1.56,-0.48,4.5,10.91
200612,0.0127,0.87,-1.1,3.16,0.4,0.84,-0.81,2.05,0.06,-0.08,-0.22,0.14,0.02,1.64,4.71,0.9,24.88,0.31,203.1,0.87,1.48,-0.41,4.4,11.56
200701,0.0037,1.4,0.1,-0.11,0.44,0.21,0.23,0.23,0.01,0.03,0.06,0.17,-0.18,1.57,4.83,0.94,25.08,0.02,203.44,1.4,1.61,-0.35,4.6,10.42
200702,0.0022,-1.96,1.32,-0.09,0.38,-1.35,-0.46,-0.75,-0.03,-0.2,0.01,-0.06,0.1,1.6,4.56,0.89,25.29,0.31,204.23,-1.96,1.67,-0.44,4.5,15.42
200703,-0.0009,0.68,-0.06,-0.22,0.43,2.47,0.27,-0.61,-0.12,-0.02,-0.08,0.14,0.04,1.75,4.65,0.97,25.49,0.27,205.29,0.68,1.59,-0.52,4.4,14.64
200704,0.0163,3.49,-2.06,-1.15,0.44,-0.16,1.01,1.01,-0.14,0.02,-0.07,0.06,0.09,1.68,4.63,0.92,25.72,-0.08,205.9,3.49,1.52,-0.31,4.5,14.22
200705,0.0181,3.24,0.03,-0.05,0.41,-0.26,1.14,-1.3,0,-0.14,-0.14,0.05,0.05,1.6,4.9,0.92,25.94,-0.14,206.76,3.24,1.39,-0.12,4.4,13.05
200706,0.0151,-1.96,0.77,-1.13,0.4,0.38,0.55,0.07,0.17,0,0.13,-0.05,-0.07,1.59,5.03,0.91,26.17,-0.24,207.23,-1.96,1.28,0.36,4.6,16.23
200707,0.0079,-3.73,-2.51,-3.34,0.4,2.8,0.6,-1.04,-0.13,0.21,-0.03,-0.02,0.07,1.85,4.78,0.92,26.44,0,207.6,-3.73,1.49,0.04,4.7,23.52
200708,-0.0211,0.92,-0.13,-2.24,0.42,0.11,-0.9,-0.55,-0.01,0,0.08,2.22,0.05,2.05,4.54,0.86,26.71,-0.02,207.67,0.92,0.88,0.36,4.6,23.38
200709,0.0323,3.22,-2.29,-1.87,0.32,4.59,-0.56,-3.17,0.06,0.09,0.33,0.04,-0.1,2,4.59,0.85,26.98,0.15,208.55,3.22,0.58,0.53,4.7,18
200710,0.0326,1.8,0.22,-2.59,0.32,4.96,-0.31,-0.1,-0.16,0.05,0.12,-0.31,0.01,1.99,4.48,0.82,27.23,-0.24,209.19,1.8,0.6,0.53,4.7,18.53
200711,-0.0089,-4.83,-2.63,-1.18,0.34,0.93,1.9,-0.33,0.03,0.24,0.01,0.2,-0.2,2.47,3.97,0.96,27.48,-0.2,210.83,-4.83,0.03,0.79,4.7,22.87
200712,0.0098,-0.87,0.2,-0.52,0.27,6.52,0.71,-1.09,-0.03,0.03,-0.02,-0.09,-0.14,2.52,4.04,1.16,27.73,0.29,211.45,-0.87,0.29,1.03,5,22.5
200801,0.0108,-6.36,-0.89,3.65,0.21,-7.89,1.96,2.2,0.01,0.05,0.07,0.72,0.28,2.96,3.67,1.21,27.92,0.03,212.17,-6.36,0.53,0.92,5,26.2
200802,0.0422,-3.09,-0.23,-0.95,0.13,6.14,0.74,-1.07,-0.03,0.15,0.32,0.27,-0.07,3.22,3.53,1.29,28.11,-0.09,212.69,-3.09,1.16,1.56,4.9,26.54
200803,-0.0122,-0.93,0.94,-0.15,0.17,4.1,1.11,0.47,0.15,0.2,-0.08,0.06,-0.15,3.45,3.45,1.38,28.3,-0.11,213.45,-0.93,2.01,2.23,5.1,25.61
200804,-0.0003,4.6,-1.64,-0.96,0.18,-0.2,1.29,-2.56,-0.15,-0.22,-0.03,0.08,-0.12,3.1,3.77,1.42,28.44,-0.47,213.94,4.6,1.97,2.36,5,20.79
200805,0.012,1.86,3.22,-1.38,0.18,3.21,0.81,0.04,0,-0.19,-0.15,-0.12,-0.11,3,4.06,1.36,28.57,4.71,215.21,1.86,1.53,2.12,5.4,17.83
200806,0.0119,-8.44,1.27,-2.43,0.17,12.54,4.31,-0.42,-0.05,-0.01,0.03,0.04,-0.08,3.05,3.99,1.39,28.71,-2.72,217.46,-8.44,0.49,2.21,5.6,23.95
200807,-0.0262,-0.77,2.47,5.81,0.15,-5.15,-0.99,1.06,-0.13,-0.26,-0.14,-0.04,0,3.22,3.99,1.49,28.76,-1.66,219.02,-0.77,0.57,2.35,5.8,22.94
200808,-0.0118,1.53,3.61,1.56,0.13,-4.05,1.84,0.82,0.1,0.66,0.24,0.17,-0.16,3.29,3.83,1.51,28.8,-0.65,218.69,1.53,0.39,2.13,6.1,20.65
200809,-0.0121,-9.24,-1.13,6.33,0.15,0.35,2.91,1.82,0.1,0.31,0.31,1.26,0.25,4,3.85,1.66,28.85,0.19,218.88,-9.24,0.73,2.54,6.1,39.39
200810,0.0163,-17.23,-2.34,-2.9,0.08,7.79,3.61,1.89,0.05,0.69,0.32,1.53,0.61,5.53,4.01,2.6,28.7,0.46,217,-17.23,0.71,3.13,6.5,59.89
200811,0.0073,-7.86,-2.99,-5.94,0.03,7.11,4.82,2.72,0.39,-0.07,-0.08,0.14,0.02,6.1,2.93,3.09,28.54,0.68,213.15,-7.86,0.85,3.33,6.8,55.28
200812,0.0111,1.74,3.59,-0.24,0,-5.07,-0.07,-1.41,0.3,0.18,0.16,0.01,-0.23,5.82,2.25,3.38,28.39,-0.57,211.4,1.74,0.44,2.38,7.3,40
200901,-0.001,-8.12,-0.01,-11.1,0,-1.83,0.26,-1.19,-0.18,-0.17,-0.13,0.15,-0.22,5.38,2.87,3.09,28.01,0.28,211.93,-8.12,0.29,2.39,7.8,44.84
200902,-0.0012,-10.1,0.16,-7.25,0.01,4.18,1.72,-1.11,-0.05,-0.1,-0.09,-0.08,-0.02,5.22,3.02,2.81,27.64,-1.1,212.71,-10.1,0.3,2.57,8.3,46.35
200903,-0.0061,8.95,-0.08,3.52,0.02,-11.38,-2.3,-2.25,-0.1,-0.04,-0.2,-0.1,0.02,5.74,2.71,2.92,27.26,-0.1,212.5,8.95,0.41,2.6,8.7,44.14
200904,-0.0009,10.19,4.83,5.46,0.01,-34.39,0.28,0.14,-0.16,-0.25,-0.18,-0.14,0.01,5.08,3.16,3,26.7,0.83,212.71,10.19,0.36,2.77,9,36.5
200905,0.0354,5.21,-2.33,-0.21,0,-12.44,-0.99,-2.12,0.15,0.36,0.1,0.09,-0.01,4.29,3.47,2.52,26.15,1.58,213.02,5.21,0.3,3.12,9.4,28.92
200906,-0.0117,0.43,2.61,-2.71,0.01,5.29,-1.07,-0.16,-0.16,-0.19,-0.05,0.02,-0.17,3.64,3.53,1.89,25.59,-1.72,214.79,0.43,0.31,3.54,9.5,26.35
200907,0.0049,7.72,2.07,5.27,0.01,-5.36,-0.65,3.21,-0.17,-0.23,-0.1,0.23,0.07,3.11,3.52,1.68,25.03,-0.54,214.73,7.72,0.28,3.38,9.5,25.92
200908,0.0037,3.33,-0.9,7.76,0.01,-8.84,-3.04,3.2,-0.07,-0.22,-0.09,0.17,0.19,2.98,3.4,1.32,24.46,-0.33,215.45,3.33,0.27,3.42,9.6,26.01
200909,0.0171,4.08,2.45,0.92,0.01,-4.93,1.49,0.4,-0.12,-0.08,-0.07,-0.09,-0.04,2.86,3.31,1.18,23.9,0.1,215.86,4.08,0.26,3.28,9.8,25.61
200910,-0.0052,-2.59,-4.23,-4.18,0,2.65,4.2,-1.68,-0.15,-0.13,-0.03,-0.13,-0.11,2.86,3.41,1.14,23.4,-0.51,216.51,-2.59,0.28,3.31,10,30.69
200911,0.0217,5.56,-2.49,-0.17,0,0.29,0.81,0.15,-0.05,-0.06,0.11,-0.18,-0.15,2.99,3.21,1.13,22.91,0.2,217.23,5.56,0.24,3.35,9.9,24.51
200912,-0.013,2.75,6.11,0.01,0.01,2.91,0.44,-0.08,-0.14,-0.07,-0.21,-0.23,-0.15,2.54,3.85,1.11,22.41,0.48,217.35,2.75,0.3,3.54,9.9,21.68
201001,-0.0195,-3.36,0.38,0.31,0,-5.38,-1.37,0.43,-0.21,-0.12,-0.06,-0.19,-0.12,2.57,3.63,0.99,22.24,-0.06,217.49,-3.36,0.26,3.67,9.8,24.62
201002,0.0016,3.4,1.21,3.17,0,3.6,-0.35,1.41,-0.14,0.08,-0.09,-0.13,-0.23,2.62,3.61,0.99,22.07,-0.08,217.28,3.4,0.22,3.58,9.8,19.5
201003,0.0159,6.31,1.43,2.1,0.01,3.66,-0.56,1.69,-0.24,-0.12,-0.16,-0.28,-0.02,2.47,3.84,1,21.9,0.26,217.35,6.31,0.22,3.58,9.9,17.59
201004,0.0082,2,4.98,2.81,0.01,3.22,1.05,1.72,0.05,-0.16,-0.04,0.18,-0.05,2.38,3.69,0.96,21.95,0.77,217.4,2,0.26,3.68,9.9,22.05
201005,-0.0158,-7.89,0.05,-2.38,0.01,-0.13,1.37,-0.22,0.21,0.48,-0.04,0.18,0.15,2.89,3.31,1.09,21.99,0.75,217.29,-7.89,0.19,3.26,9.6,32.07
201006,-0.0012,-5.56,-1.98,-4.5,0.01,-3,-0.21,-1.52,-0.02,-0.04,-0.15,-0.23,-0.09,3.08,2.97,1.35,22.04,0.12,217.2,-5.56,0.18,3.08,9.4,34.54
201007,-0.0006,6.93,0.17,-0.26,0.01,1.88,0.23,1.99,-0.14,0.17,0.22,-0.13,-0.21,2.91,2.94,1.29,22.14,0.1,217.61,6.93,0.12,2.85,9.4,23.5
201008,0.0169,-4.77,-3,-1.96,0.01,-0.19,0.61,-1.7,0.45,0.02,-0.04,-0.08,-0.23,3.01,2.47,1.17,22.25,0.22,217.92,-4.77,0.09,2.54,9.5,26.05
201009,0.0274,9.54,3.92,-3.12,0.01,1.35,-0.16,0.48,-0.18,0.01,0.03,0.07,-0.01,3.05,2.53,1.13,22.35,-0.17,218.28,9.54,0.1,2.5,9.5,23.7
201010,0.0223,3.88,1.14,-2.59,0.01,1.64,1.34,-0.23,-0.16,0.06,0.16,-0.12,-0.09,3.15,2.63,1.04,22.48,0.08,219.04,3.88,0.09,2.41,9.4,21.2
201011,-0.0092,0.6,3.71,-0.9,0.01,2.53,0.29,1.63,0.01,-0.2,0.03,-0.1,-0.13,3.03,2.81,1.05,22.6,0.16,219.59,0.6,0.1,2.62,9.8,23.54
201012,0.0334,6.82,0.69,3.82,0.01,-3.19,-3.66,3.23,0,-0.05,-0.01,-0.24,-0.12,2.68,3.3,1.08,22.73,0.65,220.47,6.82,0.14,3.15,9.3,17.75
201101,-0.0072,1.99,-2.46,0.83,0.01,-0.32,-0.81,0.7,-0.06,-0.18,-0.21,-0.1,-0.15,2.68,3.42,1.05,22.96,0.36,221.19,1.99,0.11,3.24,9.1,19.53
201102,0.0128,3.49,1.52,1.08,0.01,2.03,-1.92,0.94,-0.13,-0.16,0.04,-0.12,-0.04,2.57,3.42,0.93,23.2,0.2,221.9,3.49,0.14,3.44,9,18.35
201103,-0.0109,0.45,2.6,-1.57,0.01,3.51,1.55,-0.03,-0.19,-0.05,0.03,-0.2,-0.06,2.58,3.47,0.9,23.43,-0.36,223.05,0.45,0.14,3.31,9,17.74
201104,0.0237,2.9,-0.35,-2.53,0,0.07,1.1,-0.85,-0.07,0.22,0.17,0.03,-0.09,2.58,3.32,0.86,23.73,-0.24,224.09,2.9,0.17,3.4,9.1,14.75
201105,-0.023,-1.27,-0.71,-2.07,0,-0.56,1.99,-1.5,0.02,-0.19,-0.15,-0.05,-0.22,2.65,3.05,0.82,24.04,-0.16,224.81,-1.27,0.13,3.13,9,15.45
201106,-0.0174,-1.75,-0.17,-0.33,0,1.78,2.38,-1.46,-0.12,-0.18,-0.05,-0.03,-0.11,2.72,3.18,0.76,24.34,0.4,224.81,-1.75,0.13,2.97,9.1,16.52
201107,0.0166,-2.36,-1.3,-1.23,0,0.08,2.41,-1.82,0.35,0.14,0,-0.08,-0.04,2.77,2.82,0.83,24.62,0.23,225.4,-2.36,0.14,2.97,9,25.25
201108,-0.0051,-5.99,-3.06,-2.44,0.01,-0.31,3.2,-0.23,0.37,-0.01,0.22,0.18,0.46,3.25,2.23,0.99,24.9,-0.18,226.11,-5.99,0.09,2.28,9,31.62
201109,-0.0124,-7.59,-3.49,-1.46,0,-2.55,1.89,0.23,0.14,0.19,0.28,-0.08,0.02,3.3,1.92,1.18,25.18,-0.25,226.6,-7.59,0.09,1.96,9,42.96
201110,-0.0092,11.35,3.41,-0.17,0,-1.42,-1.92,-0.85,-0.1,-0.17,-0.22,-0.25,-0.07,3.02,2.17,1.39,25.6,0.12,226.75,11.35,0.09,2.13,8.8,29.96
201111,-0.0065,-0.28,-0.17,-0.34,0,3.99,1.78,1.52,0.02,-0.19,-0.06,-0.23,-0.23,3.24,2.08,1.27,26.01,-0.08,227.17,-0.28,0.1,2,8.6,27.8
201112,-0.0025,0.74,-0.71,1.75,0,1.94,0.77,2.39,-0.01,-0.25,0,-0.35,-0.15,3.27,1.89,1.32,26.43,0.85,227.22,0.74,0.1,1.97,8.5,23.4
201201,0.0127,5.05,2.15,-1.11,0,-7.97,-1.82,-1.38,-0.15,-0.23,-0.22,-0.03,-0.23,3.24,1.83,1.38,26.74,0.69,227.84,5.05,0.08,1.93,8.3,19.44
201202,0.0079,4.42,-1.75,0.09,0,-0.3,-0.19,-0.08,-0.14,0.06,-0.08,-0.07,-0.03,3.1,1.98,1.29,27.04,0.55,228.33,4.42,0.06,1.88,8.3,18.43
201203,-0.0132,3.11,-0.6,0.87,0,1.5,-0.39,0.79,-0.09,-0.11,-0.13,-0.21,-0.14,3.07,2.23,1.24,27.35,0.3,228.81,3.11,0.1,2.09,8.2,15.5
201204,-0.0058,-0.85,-0.51,-0.46,0,3.83,1.11,0.65,0.02,-0.19,-0.13,-0.06,-0.16,3.2,1.95,1.23,27.67,0.33,229.19,-0.85,0.1,1.97,8.2,17.15
201205,0.004,-6.19,0.02,-0.62,0.01,6.6,2.25,2.37,0.51,0.41,0.19,0.13,0.14,3.4,1.59,1.27,28,0.03,228.71,-6.19,0.1,1.71,8.2,24.06
201206,-0.0142,3.89,0.77,0.44,0,-1.12,-1.24,0.34,-0.13,-0.23,0.14,0.2,-0.18,3.39,1.67,1.38,28.32,0.03,228.52,3.89,0.09,1.53,8.2,17.08
201207,0.0201,0.79,-2.59,-0.26,0,3.07,1.14,0.1,-0.04,-0.17,0.19,0.3,-0.08,3.27,1.51,1.47,28.74,-0.77,228.59,0.79,0.08,1.43,8.2,18.93
201208,-0.0023,2.55,0.42,1.32,0.01,-2.49,-1.21,-0.75,-0.07,-0.21,-0.1,-0.14,-0.03,3.21,1.57,1.43,29.17,-0.45,229.92,2.55,0.08,1.58,8.1,17.47
201209,-0.0003,2.73,0.51,1.54,0.01,-1.02,-1.37,1.58,-0.14,-0.15,-0.07,-0.11,-0.17,3.07,1.65,1.35,29.59,0.41,231.02,2.73,0.06,1.62,7.8,15.73
201210,-0.0184,-1.76,-1.14,3.79,0.01,0.1,-1.34,2.29,-0.27,-0.2,-0.25,-0.27,-0.15,2.73,1.72,1.11,30.14,0.69,231.64,-1.76,0.07,1.64,7.8,18.6
201211,-0.0006,0.78,0.58,-0.96,0.01,0.38,0.68,0.93,-0.19,-0.06,-0.09,-0.17,-0.19,2.95,1.62,1.01,30.7,1.35,231.25,0.78,0.08,1.56,7.7,15.87
201212,0.0102,1.18,1.47,3.56,0.01,-2.97,-1.98,0.86,-0.18,0.1,0.03,-0.14,-0.03,2.85,1.78,0.98,31.25,2.49,231.22,1.18,0.08,1.65,7.9,18.02
201301,0.0153,5.57,0.39,0.95,0,-1.88,-1.67,1.49,0.03,0.13,-0.19,-0.04,0.13,2.82,2.02,0.93,31.54,-5.8,231.68,5.57,0.07,1.84,8,14.28
201302,-0.0068,1.29,-0.45,0.03,0,1.31,-0.66,0.47,-0.08,0.12,0.02,-0.28,0.18,2.89,1.89,0.95,31.82,-0.55,232.94,1.29,0.05,1.89,7.7,15.51
201303,0.0041,4.03,0.78,-0.29,0,1.94,0.07,1.37,-0.02,-0.15,-0.16,0.16,-0.03,2.96,1.87,0.92,32.11,0.11,232.28,4.03,0.05,1.87,7.5,12.7
201304,0.0065,1.55,-2.42,0.63,0,0.25,0.1,0.49,0.11,-0.02,0.41,-0.27,-0.09,2.83,1.7,0.86,32.5,0.34,231.8,1.55,0.06,1.7,7.6,13.52
201305,-0.0125,2.8,1.67,2.6,0,-1.8,-1.65,-0.8,0.11,0,-0.07,-0.11,0.19,2.79,2.16,0.84,32.88,0.52,231.89,2.8,0.07,1.88,7.5,16.3
201306,-0.0157,-1.2,1.22,-0.18,0,0.59,-0.34,-0.07,0.34,0.08,0.09,0.15,-0.02,2.83,2.52,0.92,33.27,0.04,232.45,-1.2,0.09,2.25,7.5,16.86
201307,-0.0006,5.65,1.86,0.56,0,1.74,-1.46,0.58,-0.13,-0.1,0.01,-0.2,-0.01,2.68,2.6,0.98,33.65,-0.17,232.9,5.65,0.08,2.55,7.3,13.45
201308,-0.0108,-2.71,0.3,-2.78,0,0.05,0.61,-2.17,-0.02,-0.22,0.28,-0.29,-0.11,2.56,2.78,0.88,34.02,0.15,233.46,-2.71,0.08,2.69,7.2,17.01
201309,-0.0017,3.77,2.93,-1.19,0,2.97,-0.74,-1.29,-0.03,0.01,-0.19,-0.25,-0.12,2.75,2.64,0.83,34.4,0.33,233.54,3.77,0.09,2.79,7.2,16.6
201310,0.0083,4.18,-1.49,1.14,0,0.16,2.69,0.89,-0.15,-0.18,-0.11,-0.04,0.05,2.65,2.57,0.78,34.6,-0.33,233.67,4.18,0.06,2.57,7.2,13.75
201311,0.0052,3.12,1.24,0.24,0,0.4,0.14,0.07,-0.12,0.02,-0.08,-0.29,-0.09,2.61,2.75,0.75,34.79,0.26,234.1,3.12,0.05,2.65,6.9,13.7
201312,0.0047,2.81,-0.5,-0.31,0,0.07,-0.52,0.07,-0.03,-0.02,0.03,-0.05,0,2.33,3.04,0.76,34.99,0.26,234.72,2.81,0.06,2.84,6.7,13.72
201401,-0.0085,-3.32,0.86,-2.09,0,1.72,-4,-1.38,-0.03,-0.23,-0.1,-0.18,-0.13,2.4,2.67,0.7,35.4,0.49,235.29,-3.32,0.07,2.81,6.6,18.41
201402,0.0144,4.65,0.32,-0.4,0,2.08,-0.24,-0.44,-0.11,-0.15,0.22,-0.29,-0.05,2.35,2.66,0.65,35.82,0.64,235.55,4.65,0.06,2.66,6.7,14
201403,-0.009,0.43,-1.89,5.08,0,-3.3,2.15,1.89,-0.21,-0.16,0.2,-0.25,-0.1,2.26,2.73,0.68,36.23,0.54,236.03,0.43,0.07,2.67,6.7,13.88
201404,0.0006,-0.19,-4.25,1.14,0,-3.85,3.51,1.05,-0.1,-0.28,-0.18,-0.16,-0.13,2.16,2.67,0.66,36.61,0.2,236.47,-0.19,0.07,2.67,6.2,13.41
201405,0.0057,2.06,-1.85,-0.27,0,1.15,0.09,-1.06,0.09,-0.13,-0.12,-0.16,-0.12,2.22,2.48,0.6,37,0.22,236.92,2.06,0.06,2.53,6.3,11.4
201406,0.007,2.61,3.07,-0.74,0,0.68,-1.99,-1.94,-0.18,-0.18,0.01,-0.11,-0.17,2.18,2.53,0.55,37.38,0.34,237.23,2.61,0.06,2.56,6.1,11.57
201407,-0.004,-2.04,-4.24,0.01,0,-0.24,0.95,0.48,-0.08,-0.09,0.1,-0.09,-0.08,2.17,2.58,0.57,37.75,0.27,237.5,-2.04,0.07,2.52,6.2,16.95
201408,0.015,4.24,0.36,-0.58,0,0.82,-0.64,-0.68,0.16,0.2,-0.17,-0.11,-0.12,2.23,2.35,0.61,38.12,0.4,237.46,4.24,0.07,2.39,6.1,11.98
201409,0.0108,-1.97,-3.83,-1.23,0,0.53,1.14,-0.53,-0.13,0.37,0.43,-0.21,0.03,2.29,2.52,0.69,38.49,0.2,237.48,-1.97,0.08,2.51,5.9,16.31
201410,-0.002,2.52,4.23,-1.68,0,0,-0.48,-0.14,0.09,0.07,0.22,0.01,0.09,2.39,2.35,0.77,38.81,0.33,237.43,2.52,0.08,2.29,5.7,14.03
201411,0.0225,2.55,-2.09,-2.99,0,1.05,1.4,0.2,0.02,0.17,0.01,-0.19,-0.02,2.52,2.18,0.87,39.12,0.35,236.98,2.55,0.1,2.3,5.8,13.33
201412,0.0024,-0.06,2.54,2.06,0,1.06,-1.16,0.88,0.09,-0.03,0.07,-0.07,0.12,2.51,2.17,0.95,39.44,0.58,236.25,-0.06,0.17,2.18,5.6,19.2
201501,0.0251,-3.11,-0.56,-3.47,0,3.87,1.66,-1.71,0.37,0.69,0.06,-0.04,-0.08,2.61,1.68,0.99,39.9,0.46,234.72,-3.11,0.15,1.85,5.7,20.97
201502,0.002,6.13,0.48,-1.79,0,-2.84,-1.07,-1.71,-0.02,-0.19,-0.07,-0.06,0.27,2.46,2,0.9,40.35,0.3,235.24,6.13,0.19,1.96,5.5,13.34
201503,0.0056,-1.12,3.02,-0.46,0,2.98,0.08,-0.52,0,0.15,-0.18,-0.16,-0.06,2.55,1.94,0.9,40.81,-0.26,236.01,-1.12,0.21,2.02,5.4,15.29
201504,-0.0119,0.59,-2.97,1.86,0,-7.37,-0.16,-0.5,-0.04,-0.06,-0.11,-0.13,-0.13,2.6,2.05,0.96,41.12,0.43,236.16,0.59,0.2,1.91,5.4,14.55
201505,-0.0005,1.36,0.87,-1.37,0,6.01,-1.71,-0.75,0.13,-0.01,-0.13,-0.35,-0.23,2.72,2.12,0.91,41.43,0.28,236.97,1.36,0.2,2.18,5.6,13.84
