Date,GMHF_Mean,Mkt_RF,SMB,HML,RF,MOM,RMW,CMA,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,CS_factor,DGS10,DEF,DIV,GDP,INFLTN,MKT,RREL,TERM,UNEMP,VIX
199606,-0.0106,-1.14,-3.58,1.56,0.4,1.01,3.47,1.08,-0.14,-0.17,0.08,-0.01,-0.16,1.51,6.73,0.69,14.27,0.5,156.7,-1.14,0.39,1.68,5.3,13.68
199607,-0.0304,-5.97,-3.83,4.45,0.45,-0.11,2.84,2.6,0.03,0.09,-0.04,0.32,0.01,1.5,6.8,0.7,14.4,-0.37,157,-5.97,0.37,1.57,5.5,19.46
199608,0.0073,2.77,2.3,-0.46,0.41,-0.05,-0.3,-2.43,0.03,-0.3,0.03,0.16,-0.08,1.48,6.96,0.72,14.53,0.14,157.2,2.77,0.3,1.45,5.1,17.01
199609,0.0201,5.01,-0.88,-3.14,0.44,2.69,1.51,-2.18,0.03,-0.01,0.05,-0.03,-0.06,1.5,6.72,0.69,14.66,0.12,157.7,5.01,0.41,1.59,5.2,16.95
199610,0.0158,0.86,-4.44,5.12,0.42,3.91,1.32,2.97,0.15,0.37,0.24,0.08,-0.03,1.54,6.37,0.68,14.74,-0.12,158.2,0.86,0.26,1.41,5.2,18.11
199611,0.0472,6.25,-3.89,1.16,0.41,-2.23,2.01,-0.73,0.14,0.09,0.11,0.08,0.07,1.65,6.06,0.69,14.82,0.17,158.7,6.25,0.11,1.03,5.4,17.14
199612,-0.0049,-1.7,3.2,0.9,0.46,0.61,0.57,1.51,-0.1,0.28,-0.08,-0.09,0.01,1.54,6.43,0.69,14.9,0.25,159.1,-1.7,0.27,1.26,5.4,20.92
199701,0.0514,4.98,-1.84,-1.64,0.45,1.95,1.27,-0.27,-0.04,0.41,0.08,-0.13,0.16,1.5,6.53,0.67,14.95,0.2,159.4,4.98,0.27,1.41,5.3,19.47
199702,0.0159,-0.49,-2.9,5.19,0.39,-2.05,0.73,3.4,-0.05,0.02,0.24,-0.07,0.02,1.49,6.56,0.63,15.01,0.19,159.7,-0.49,0.22,1.28,5.2,21.1
199703,-0.0124,-5.02,-0.38,3.81,0.43,0.97,0.35,1.67,-0.02,-0.14,-0.04,-0.08,-0.07,1.4,6.92,0.63,15.06,0.38,159.8,-5.02,0.33,1.41,5.2,22.14
199704,-0.0022,4.04,-5.66,-0.07,0.43,4.92,3.29,-0.91,-0.18,-0.13,0.03,-0.04,-0.12,1.5,6.72,0.61,15.09,-0.02,159.9,4.04,0.48,1.58,5.1,20.06
199705,0.0183,6.74,4.89,-3.87,0.49,-5.16,-0.98,-2.9,0.04,0.11,-0.02,0.15,0.28,1.51,6.67,0.62,15.13,0.34,159.9,6.74,0.49,1.51,4.9,19.19
199706,0.0182,4.1,1.32,1.23,0.37,2.62,1.02,0.54,-0.1,-0.07,0.08,-0.11,0.05,1.5,6.51,0.61,15.16,0.22,160.2,4.1,0.45,1.42,5,21.53
199707,0.059,7.33,-2.8,0.84,0.43,3.81,-0.24,-2.54,0.31,0.32,0.21,0,0.24,1.54,6.02,0.61,15.22,0.27,160.4,7.33,0.19,1.03,4.9,21.48
199708,-0.0125,-4.15,7.31,1.38,0.41,-2.55,-0.94,-0.03,-0.08,0.05,-0.14,0,0.03,1.44,6.34,0.6,15.27,0.4,160.8,-4.15,0.13,1.02,4.8,24.76
199709,0.0305,5.35,2.61,0.02,0.44,1.45,-1.39,-0.91,0,-0.11,-0.03,-0.13,-0.03,1.54,6.12,0.55,15.33,0.15,161.2,5.35,0.28,1.12,4.9,22.91
199710,-0.016,-3.8,-0.68,1.96,0.42,-0.38,1.09,1.89,0.04,0.11,0.07,0.35,0.29,1.6,5.84,0.57,15.39,0.39,161.5,-3.8,0.2,0.92,4.7,35.09
199711,-0.0025,2.98,-4.94,0.78,0.39,0.29,3.07,1.66,-0.15,-0.01,-0.07,-0.04,-0.2,1.52,5.86,0.55,15.44,0.55,161.7,2.98,0.03,0.59,4.6,27.43
199712,0.0293,1.32,-2.35,3.46,0.48,3.95,1.18,1.91,0.01,-0.08,0.21,0.02,-0.15,1.53,5.75,0.56,15.5,0.49,161.8,1.32,0.08,0.5,4.7,24.01
199801,0.002,0.15,-1.15,-1.45,0.43,0.11,0.46,-0.83,0.2,-0.04,0.04,0.15,-0.07,1.68,5.53,0.58,15.55,0.79,162,0.15,0.06,0.37,4.6,21.47
199802,0.019,7.04,0,-0.13,0.39,-1.14,-0.87,-2.42,-0.08,-0.24,-0.03,-0.1,0.05,1.67,5.62,0.58,15.6,0.56,162,7.04,0.05,0.34,4.6,18.55
199803,0.0505,4.76,-0.94,1.06,0.39,2.15,-1.02,-0.48,-0.11,-0.02,-0.1,-0.11,0.09,1.67,5.67,0.6,15.64,0.49,162,4.76,0.08,0.49,4.7,24.22
199804,-0.0013,0.73,0.21,0.74,0.43,0.78,-2.13,-0.23,-0.2,-0.18,-0.11,-0.13,-0.1,1.66,5.68,0.64,15.75,0.22,162.2,0.73,0.15,0.55,4.3,21.18
